Rk,Player,Age,Team,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Bats,Sk,Prss,Comb,MTkl,MTkl%,Awards,-9999
150,Marshon Lattimore,22,NOR,RCB,16,16,2,90,58,64.4,880,15.2,9.8,3,98.4,12.9,608,272,4,0,0,0,0.0,0,59,6,9.2,,LattMa01
151,Patrick Onwuasor,26,BAL,RILB,16,12,1,28,21,75.0,161,7.7,5.8,2,97.5,3.7,61,100,43,0,5,0,5.5,11,59,9,13.2,,OnwuPa00
152,Ndamukong Suh,31,LAR,LDT,16,16,0,2,2,100.0,12,6.0,6.0,0,91.7,1.5,3,9,0,5,8,0,4.5,18,59,3,4.8,,SuhxNd99
153,Michael Thomas,28,NYG,SS,16,6,2,31,15,48.4,159,10.6,5.1,0,36.9,7.1,104,55,15,0,0,0,1.0,1,59,5,7.8,PB,ThomMi02
154,Dalvin Tomlinson,24,NYG,RDE/NT,16,16,0,2,1,50.0,14,14.0,7.0,0,72.9,2.5,8,6,0,8,0,0,0.0,8,59,1,1.7,,TomlDa00
155,B.W. Webb,28,NYG,LCB,16,13,1,73,41,56.2,553,13.5,7.6,2,83.9,13.4,400,153,13,2,0,0,1.0,3,59,3,4.8,,WebbBW00
156,Marcus Williams,22,NOR,FS,16,16,2,31,17,54.8,343,20.2,11.1,4,106.6,16.9,277,66,5,0,0,0,1.0,1,59,4,6.3,,WillMa06
157,Rasul Douglas,23,PHI,LCB,16,7,3,76,53,69.7,678,12.8,8.9,4,98.5,11.0,439,239,0,0,0,0,0.0,0,58,3,4.9,,DougRa00
158,Marcus Gilchrist,30,OAK,SS,16,16,3,61,37,60.7,448,12.1,7.3,9,102.3,13.5,309,139,7,0,0,0,0.0,0,58,7,10.8,,GilcMa00
159,Micah Hyde,28,BUF,SS,15,15,2,46,25,54.3,256,10.2,5.6,8,92.0,12.8,189,67,14,0,0,0,0.0,0,58,8,12.1,,HydeMi00
160,Josey Jewell,24,DEN,RILB,16,9,0,31,20,64.5,180,9.0,5.8,3,112.3,3.7,45,135,13,1,0,0,0.0,1,58,4,6.5,,JeweJo00
161,Johnathan Joseph,34,HOU,LCB,14,14,2,91,55,60.4,669,12.2,7.4,4,88.6,10.0,453,216,1,0,0,0,0.0,0,58,16,21.6,,JoseJo20
162,Linval Joseph,30,MIN,RDT,15,15,0,1,1,100.0,-5,-5.0,-5.0,0,79.2,-5.0,-5,0,0,3,1,0,1.0,5,58,3,4.9,,JoseLi99
163,Fabian Moreau,24,WAS,LCB,16,10,1,62,38,61.3,570,15.0,9.2,3,100.9,9.8,350,220,10,2,0,0,0.0,2,58,5,7.9,,MoreFa00
164,Jason Pierre-Paul,29,TAM,RDE,16,16,0,2,2,100.0,10,5.0,5.0,0,87.5,4.0,8,2,0,12,5,0,12.5,30,58,10,14.7,,PierJa99
165,Buster Skrine,29,NYJ,DB,14,11,0,75,49,65.3,566,11.6,7.5,4,105.7,7.5,296,270,19,0,0,0,0.5,1,58,10,14.7,,SkriBu00
166,Kenny Vaccaro,27,TEN,SS,13,13,1,32,17,53.1,198,11.6,6.2,2,79.9,11.5,122,76,17,3,1,0,2.0,6,58,4,6.5,,VaccKe00
167,Morris Claiborne,28,NYJ,RCB,15,15,2,94,49,52.1,704,14.4,7.5,4,82.0,12.8,489,215,0,0,0,0,0.0,0,57,9,13.6,,ClaiMo00
168,Trey Flowers,25,NWE,LDE,15,15,0,5,3,60.0,13,4.3,2.6,0,64.6,-2.6,-7,20,1,17,10,0,7.5,36,57,2,3.4,,FlowTr00
169,Mike Hilton,24,PIT,DB,15,2,1,68,41,60.3,428,10.4,6.3,2,82.2,7.4,265,163,47,1,3,0,1.0,5,57,4,6.6,,HiltMi01
170,Hardy Nickerson,24,CIN,MLB,16,7,0,36,27,75.0,325,12.0,9.0,2,120.7,5.1,156,169,25,0,0,0,0.0,0,57,5,8.1,,NickHa02
171,Tedric Thompson,23,SEA,FS,14,10,1,22,14,63.6,269,19.2,12.2,3,126.7,14.6,204,65,1,0,0,0,0.0,0,57,11,16.2,,ThomTe00
172,Briean Boddy-Calhoun,25,CLE,DB,16,8,0,65,45,69.2,579,12.9,8.9,1,102.0,6.8,301,278,14,0,3,0,0.0,3,56,9,13.8,,BoddBr01
173,Corey Graham,33,PHI,SS,13,9,1,29,22,75.9,305,13.9,10.5,3,129.2,13.6,237,68,13,0,0,0,0.0,0,56,4,6.7,,GrahCo99
174,Jonathan Jones,25,NWE,DB,16,5,3,73,43,58.9,531,12.3,7.3,4,82.6,8.5,249,282,19,3,1,0,1.5,6,56,9,13.8,,JoneJo03
175,Rashaan Melvin,29,OAK,LCB,14,7,1,73,40,54.8,629,15.7,8.6,4,96.2,12.0,436,193,3,1,0,0,0.0,1,56,5,8.2,,MelvRa00
176,Daron Payne,21,WAS,NT,16,16,0,0,0,,0,,,0,,,0,0,0,6,2,0,5.0,13,56,3,5.1,,PaynDa00
177,Xavier Woods,23,DAL,FS,14,14,2,40,24,60.0,298,12.4,7.5,2,79.0,8.0,163,135,0,0,0,0,0.0,0,56,6,9.7,,WoodXa00
178,Anthony Barr,26,MIN,RLB,13,13,0,34,27,79.4,284,10.5,8.4,3,130.9,3.0,64,220,72,6,0,0,3.0,9,55,7,11.3,PB,BarrAn00
179,Kenny Clark,23,GNB,NT,13,13,0,1,1,100.0,9,9.0,9.0,0,104.2,5.0,5,4,1,7,2,0,6.0,15,55,5,8.3,,ClarKe01
180,Justin Coleman,25,SEA,DB,16,5,1,78,48,61.5,524,10.9,6.7,2,84.6,6.0,185,339,19,2,0,0,0.5,3,55,9,14.1,,ColeJu01
181,Dee Ford,27,KAN,LOLB,16,16,0,7,6,85.7,81,13.5,11.6,0,114.9,1.7,6,75,50,23,17,0,13.0,54,55,2,3.5,PB,FordDe00
182,Kyle Fuller,26,CHI,LCB,16,16,7,121,68,56.2,808,11.9,6.7,4,63.7,10.8,571,237,0,0,0,0,0.0,0,55,5,8.3,PBAP-1,FullKy00
183,Akiem Hicks,29,CHI,LDE,16,16,0,1,1,100.0,6,6.0,6.0,0,91.7,4.0,4,2,0,14,7,0,7.5,29,55,5,8.3,PB,HickAk00
184,Gerald Hodges,27,ARI,LB,16,6,0,22,18,81.8,160,8.9,7.3,0,97.0,4.3,59,101,16,1,1,0,0.0,2,55,5,8.3,,HodgGe00
185,Josh Jones,24,GNB,FS,13,5,0,27,20,74.1,220,11.0,8.1,1,110.1,7.9,146,74,27,1,0,0,1.0,2,55,7,11.3,,JoneJo06
186,Eric Murray,24,KAN,SS,15,9,1,37,21,56.8,286,13.6,7.7,3,97.4,13.5,208,78,10,1,1,0,0.0,2,55,4,6.8,,MurrEr00
187,A.J. Bouye,27,JAX,RCB,13,13,1,66,42,63.6,420,10.0,6.4,0,75.3,9.4,282,138,0,0,0,0,0.0,0,54,6,10.0,,BouyA.00
188,Michael Brockers,28,LAR,LDE,16,16,0,1,0,0.0,0,,0.0,0,39.6,-2.0,0,0,0,6,2,0,1.0,9,54,3,5.3,,BrocMi00
189,Tashaun Gipson,28,JAX,FS,16,16,1,46,24,52.2,341,14.2,7.4,4,96.4,11.0,195,146,15,2,1,0,0.0,3,54,8,12.9,,GipsTa00
190,Patrick Peterson,28,ARI,LCB,16,16,2,60,35,58.3,417,11.9,7.0,4,88.0,10.3,261,156,3,1,0,0,1.0,2,54,6,10.0,PB,PetePa00
191,Tre'Davious White,23,BUF,LCB,16,16,2,73,40,54.8,461,11.5,6.3,2,71.8,11.6,329,132,1,0,0,0,0.0,0,54,7,11.5,,WhitTr01
192,Tramon Williams,35,GNB,SS/LCB,16,16,0,62,34,54.8,427,12.6,6.9,7,114.1,10.3,275,152,15,0,0,0,0.0,0,54,7,11.5,,WillTr99
193,Bene Benwikere,27,2TM,RCB,15,8,1,60,38,63.3,383,10.1,6.4,2,85.6,8.7,207,176,8,0,0,0,0.5,1,54,8,12.9,,BenwBe00
193,Bene Benwikere,27,ARI,RCB,11,8,1,55,34,61.8,363,10.7,6.6,2,85.6,9.0,202,161,8,0,0,0,0.5,1,51,7,12.1,,BenwBe00
193,Bene Benwikere,27,OAK,DB,4,0,0,5,4,80.0,20,5.0,4.0,0,83.3,4.8,5,15,0,0,0,0,0.0,0,3,1,25.0,,BenwBe00
194,Rashaan Evans,23,TEN,RILB,15,7,0,20,14,70.0,137,9.8,6.9,0,89.0,4.8,79,58,25,2,1,0,0.0,3,53,6,10.2,,EvanRa01
195,Ben Gedeon,24,MIN,LLB,15,8,0,12,8,66.7,85,10.6,7.1,0,87.2,5.7,24,61,5,0,0,0,0.0,0,53,3,5.4,,GedeBe00
196,Deion Jones,24,ATL,LLB/MLB,6,6,2,31,23,74.2,209,9.1,6.7,1,75.9,4.7,127,82,5,0,0,0,1.0,1,53,7,11.7,,JoneDe01
197,Nevin Lawson,27,DET,RCB,15,14,0,73,43,58.9,520,12.1,7.1,5,103.7,10.3,350,170,6,0,0,0,1.0,1,53,3,5.4,,LawsNe00
198,Preston Smith,26,WAS,LOLB,16,16,1,12,9,75.0,36,4.0,3.0,0,42.4,2.0,12,24,32,12,9,0,4.0,26,53,9,14.5,,SmitPr00
199,D.J. Swearinger,27,WAS,FS,15,15,4,47,29,61.7,369,12.7,7.9,2,64.9,10.1,234,135,18,5,1,0,1.0,7,53,11,17.2,,SweaDJ00
200,Denzel Ward,21,CLE,LCB,13,12,3,90,46,51.1,507,11.0,5.6,5,72.8,9.9,352,155,0,0,0,0,0.0,0,53,10,15.9,PB,WardDe02
201,P.J. Williams,25,NOR,MLB,15,7,1,79,50,63.3,644,12.9,8.2,7,113.1,8.3,356,288,13,0,1,0,1.0,2,53,7,11.7,,WillP.00
202,Grady Jarrett,25,ATL,RDT,14,14,0,1,1,100.0,5,5.0,5.0,0,87.5,3.0,3,2,0,14,7,0,6.0,28,52,4,7.1,,JarrGr00
203,Larry Ogunjobi,24,CLE,LDT,16,16,0,2,2,100.0,18,9.0,9.0,0,104.2,4.5,9,9,0,9,7,0,5.5,23,52,3,5.5,,OgunLa00
204,Cameron Heyward,29,PIT,DT,16,16,0,1,0,0.0,0,,0.0,0,39.6,3.0,0,0,0,7,9,0,8.0,25,51,1,1.9,PB,HeywCa01
205,Eddie Jackson,25,CHI,SS,14,14,6,54,27,50.0,311,11.5,5.8,2,40.5,11.5,138,173,1,0,0,0,1.0,1,51,11,17.7,PBAP-1,JackEd01
206,Denzel Perryman,26,LAC,MLB,9,9,1,28,15,53.6,167,11.1,6.0,2,80.5,4.8,71,96,4,2,1,0,0.0,3,51,9,15.0,,PerrDe00
207,Kenny Young,24,BAL,LB,16,3,0,23,15,65.2,93,6.2,4.0,1,87.8,1.6,-1,94,36,4,6,0,2.5,13,51,8,13.6,,YounKe03
208,Robert Alford,30,ATL,LCB,15,15,0,79,53,67.1,902,17.0,11.4,8,139.3,14.0,631,271,1,0,0,0,0.0,0,50,8,13.8,,AlfoRo00
209,Kentrell Brice,24,GNB,FS,14,10,0,32,25,78.1,378,15.1,11.8,4,155.5,8.4,236,142,8,0,0,0,1.0,1,50,18,26.5,,BricKe00
210,Michael Davis,23,LAC,LCB,16,9,0,67,42,62.7,521,12.4,7.8,3,101.6,9.1,340,181,0,0,0,0,0.0,0,50,6,10.7,,DaviMi03
211,Corey Peters,30,ARI,LDT,15,15,0,0,0,,0,,,0,,,0,0,0,3,1,0,2.5,7,50,4,7.4,,PeteCo00
212,Jarran Reed,26,SEA,LDT,16,16,0,1,1,100.0,6,6.0,6.0,0,91.7,3.0,3,3,0,8,12,0,10.5,31,50,4,7.4,,ReedJa02
213,Bradley Roby,26,DEN,LCB,15,15,1,92,58,63.0,847,14.6,9.2,7,113.8,10.6,481,366,2,0,0,0,0.0,0,50,13,20.6,,RobyBr00
214,Jabaal Sheard,29,IND,LDE/RDE,16,16,0,4,3,75.0,15,5.0,3.8,0,80.2,-1.0,-1,16,0,11,4,0,5.5,23,50,6,10.7,,SheaJa00
215,Javon Hargrave,25,PIT,NT,16,14,0,0,0,,0,,,0,,,0,0,0,2,1,0,6.5,10,49,1,2.0,,HargJa00
216,Chris Harris Jr.,29,DEN,RCB,12,12,3,71,46,64.8,497,10.8,7.0,4,86.4,7.8,345,152,8,0,0,0,1.0,1,49,6,10.9,PB,HarrCh01
217,Erik Harris,28,OAK,DB,16,4,2,26,12,46.2,151,12.6,5.8,2,58.3,16.5,119,32,12,0,1,0,0.0,1,49,4,7.5,,HarrEr00
218,Josh Jackson,22,GNB,RCB/DB,16,10,0,64,40,62.5,557,13.9,8.7,3,106.1,9.6,326,231,19,2,0,0,0.0,2,49,11,18.3,,JackJo01
219,Chandler Jones,28,ARI,RDE,16,16,0,4,4,100.0,12,3.0,3.0,0,79.2,1.3,5,7,6,19,6,0,13.0,39,49,8,14.0,,JoneCh03
220,Cameron Jordan,29,NOR,LDE,16,16,0,3,2,66.7,20,10.0,6.7,0,85.4,5.0,11,9,2,24,7,0,12.0,43,49,6,10.9,PBAP-2,JordCa00
221,Sheldon Richardson,28,MIN,LDT,16,16,0,0,0,,0,,,0,,,0,0,0,12,7,0,4.5,25,49,4,7.5,,RichSh00
222,A'Shawn Robinson,23,DET,LDT,13,7,0,0,0,,0,,,0,,,0,0,0,8,1,0,1.0,10,49,2,3.9,,RobiAS00
223,Arik Armstead,25,SFO,RDE,16,16,0,1,1,100.0,16,16.0,16.0,0,118.7,-5.0,-5,21,0,14,5,0,3.0,22,48,7,12.7,,ArmsAr01
224,L.J. Fort,28,PIT,LB,15,2,0,25,19,76.0,203,10.7,8.1,1,112.6,6.1,111,92,31,2,1,0,1.0,4,48,3,5.9,,FortL.00
225,Davon Godchaux,24,MIA,LDT,16,16,0,0,0,,0,,,0,,,0,0,1,4,3,0,1.0,8,48,5,9.4,,GodcDa00
226,Brent Grimes,35,TAM,RCB,13,13,0,57,39,68.4,541,13.9,9.5,3,116.2,11.7,380,161,0,0,0,0,0.0,0,48,4,7.7,,GrimBr20
227,Dont'a Hightower,28,NWE,LLB,15,15,1,35,25,71.4,236,9.4,6.7,1,87.3,4.3,90,146,105,8,3,0,1.0,12,48,4,7.7,,HighDo01
228,B.J. Hill,23,NYG,LDE,16,12,0,0,0,,0,,,0,,,0,0,0,7,1,0,5.5,14,48,2,4.0,,HillB.00
229,Isaiah Johnson,26,TAM,DB,15,4,1,26,20,76.9,316,15.8,12.2,5,140.4,14.0,220,96,5,0,0,0,0.0,0,48,3,5.9,,JohnIs00
230,Karl Joseph,25,OAK,FS,13,8,1,14,8,57.1,120,15.0,8.6,2,95.2,14.9,89,31,19,1,0,0,2.0,3,48,4,7.7,,JoseKa00
231,Kareem Martin,26,NYG,LOLB,16,7,0,7,6,85.7,51,8.5,7.3,0,97.0,2.4,19,32,27,6,8,0,1.5,16,48,8,14.3,,MartKa00
232,Von Miller,29,DEN,ROLB,16,16,1,5,4,80.0,43,10.8,8.6,1,102.5,2.2,16,27,88,12,7,0,14.5,35,48,6,11.1,PBAP-2,MillVo00
233,Barkevious Mingo,28,SEA,LLB,16,14,0,24,20,83.3,164,8.2,6.8,0,95.1,1.8,35,129,35,2,1,0,1.0,4,48,8,14.3,,MingBa00
234,Antonio Morrison,24,GNB,RILB,16,8,0,12,10,83.3,91,9.1,7.6,0,98.3,3.8,41,50,14,0,1,0,1.0,2,48,7,12.7,,MorrAn01
235,Darryl Roberts,28,NYJ,LCB/FS,16,10,1,57,34,59.6,449,13.2,7.9,4,100.7,12.7,307,142,1,0,1,0,0.0,1,48,11,18.6,,RobeDa00
236,Jadeveon Clowney,25,HOU,ROLB,15,14,0,1,0,0.0,0,,0.0,0,39.6,2.0,0,0,20,27,11,0,9.0,48,47,8,14.5,PB,ClowJa00
237,Carlos Dunlap,29,CIN,LDE,16,16,0,2,2,100.0,5,2.5,2.5,0,79.2,-3.5,-7,12,1,18,12,0,8.0,38,47,3,6.0,,DunlCa99
238,Leonard Floyd,26,CHI,ROLB,16,16,1,14,12,85.7,88,7.3,6.3,1,86.9,4.1,49,39,18,13,6,0,4.0,23,47,7,13.0,,FloyLe00
239,Khalil Mack,27,CHI,LOLB,14,13,1,8,6,75.0,96,16.0,12.0,1,114.6,5.0,27,69,19,26,8,0,12.5,47,47,6,11.3,PBAP-1AP DPoY-2,MackKh00
240,Captain Munnerlyn,30,CAR,DB,16,5,1,73,48,65.8,512,10.7,7.0,2,89.5,7.3,229,283,31,4,0,0,2.0,6,47,3,6.0,,MunnCa99
241,Xavier Rhodes,28,MIN,RCB,14,14,1,80,49,61.3,557,11.4,7.0,2,85.3,10.7,348,209,0,0,0,0,0.0,0,47,3,6.0,,RhodXa00
242,Xavier Williams,26,KAN,DT,16,4,0,0,0,,0,,,0,,,0,0,0,1,1,0,2.5,5,47,5,9.6,,WillXa00
243,Fletcher Cox,28,PHI,RDT,16,16,0,2,2,100.0,2,1.0,1.0,0,79.2,-5.0,-10,12,0,15,18,0,10.5,45,46,3,6.1,PBAP-1,CoxxFl00
244,Anthony Harris,27,MIN,SS,15,9,3,17,10,58.8,110,11.0,6.5,1,58.1,11.4,81,29,7,0,1,0,0.0,1,46,3,6.1,,HarrAn01
245,D.J. Hayden,28,JAX,DB,10,6,1,49,37,75.5,256,6.9,5.2,1,85.1,4.3,53,203,15,0,1,0,1.0,2,46,8,14.8,,HaydDJ00
246,Casey Hayward,29,LAC,RCB,16,16,0,66,35,53.0,501,14.3,7.6,3,93.1,12.2,390,111,0,0,0,0,0.0,0,46,2,4.2,,HaywCa00
247,Devon Kennard,27,DET,LLB,15,15,0,8,5,62.5,40,8.0,5.0,0,75.0,0.0,-5,45,61,13,5,0,7.0,25,46,3,6.1,,KennDe00
248,Kwon Alexander,24,TAM,MLB,6,6,0,26,24,92.3,170,7.1,6.5,2,119.6,2.0,53,117,28,0,1,0,1.0,2,45,5,10.0,,AlexKw00
249,Geno Atkins,30,CIN,RDT,16,16,0,0,0,,0,,,0,,,0,0,1,16,9,0,10.0,35,45,2,4.3,PB,AtkiGe99
250,Rafael Bush,31,BUF,DB,15,7,0,37,30,81.1,281,9.4,7.6,3,125.3,5.0,114,167,15,1,0,0,1.5,3,45,6,11.8,,BushRa00
251,Austin Calitro,24,SEA,RLB,16,5,0,22,18,81.8,170,9.4,7.7,2,129.2,5.1,72,98,5,0,0,0,0.5,1,45,4,8.2,,CaliAu00
252,Bryce Callahan,27,CHI,DB,13,10,2,53,38,71.7,350,9.2,6.6,1,79.9,5.7,126,224,18,3,3,0,2.0,8,45,6,11.8,,CallBr00
253,Brandon Carr,32,BAL,LCB,16,16,2,92,46,50.0,696,15.1,7.6,0,66.2,11.8,404,292,14,1,1,0,0.0,2,45,8,15.1,,CarrBr99
254,Stephon Gilmore,28,NWE,RCB,16,16,2,95,46,48.4,518,11.3,5.5,5,73.9,14.1,420,98,2,0,0,0,1.0,1,45,1,2.2,PBAP-1,GilmSt00
255,Kamu Grugier-Hill,24,PHI,LLB,16,10,1,19,15,78.9,107,7.1,5.6,0,68.2,5.3,40,67,8,0,1,0,1.0,2,45,3,6.3,,GrugKa00
256,Derrick Kindred,25,CLE,DB,16,2,1,23,18,78.3,247,13.7,10.7,1,107.8,6.8,159,88,22,0,1,0,0.0,1,45,7,13.5,,KindDe00
257,Coty Sensabaugh,30,PIT,RCB,15,10,0,61,35,57.4,397,11.3,6.5,4,98.9,11.2,279,118,1,0,0,0,0.0,0,45,2,4.3,,SensCo00
258,Jimmy Smith,30,BAL,RCB,12,10,2,61,33,54.1,417,12.6,6.8,2,72.9,12.3,304,113,2,0,0,0,0.0,0,45,6,11.8,,SmitJi03
259,Za'Darius Smith,26,BAL,ROLB,16,8,0,8,5,62.5,49,9.8,6.1,0,79.7,1.6,8,41,49,12,13,0,8.5,35,45,2,4.3,,SmitZa00
260,Stephon Tuitt,25,PIT,RDE,14,14,0,1,1,100.0,8,8.0,8.0,0,100.0,2.0,2,6,0,14,12,0,5.5,32,45,2,4.3,,TuitSt00
261,K'Waun Williams,27,SFO,DB,14,11,0,53,40,75.5,389,9.7,7.3,3,114.4,5.9,156,233,19,4,0,0,0.0,4,45,8,15.1,,WillKW00
262,Anthony Brown,25,DAL,DB,15,10,1,64,40,62.5,515,12.9,8.0,5,107.2,8.9,248,267,17,0,1,0,2.0,3,44,8,15.4,,BrowAn02
263,Myles Garrett,23,CLE,LDE,16,16,0,4,3,75.0,30,10.0,7.5,0,95.8,4.5,6,24,19,19,13,0,13.5,48,44,6,12.0,PBAP-2,GarrMy00
264,Rodney Gunter,26,ARI,RDT,16,10,0,0,0,,0,,,0,,,0,0,0,7,4,0,4.5,16,44,4,8.3,,GuntRo00
265,Malik Hooker,22,IND,FS,14,14,2,19,14,73.7,302,21.6,15.9,2,111.1,18.8,195,107,0,0,0,0,0.0,0,44,5,10.2,,HookMa00
266,Matt Judon,26,BAL,ROLB,16,8,0,14,6,42.9,52,8.7,3.7,0,53.3,0.4,-10,62,70,18,10,0,7.0,36,44,7,13.7,,JudoMa00
267,Harold Landry,22,TEN,LB,15,3,0,7,5,71.4,36,7.2,5.1,0,83.0,0.6,1,35,26,14,7,0,4.5,26,44,7,13.7,,LandHa00
268,Dean Lowry,24,GNB,LDE,16,8,0,0,0,,0,,,0,,,0,0,1,9,2,0,3.0,14,44,7,13.7,,LowrDe00
269,Sharrod Neasman,27,ATL,DB,12,0,0,33,22,66.7,238,10.8,7.2,4,127.3,7.8,144,94,4,0,0,0,0.0,0,44,7,13.7,,NeasSh00
270,Orlando Scandrick,31,KAN,LCB,15,7,1,92,52,56.5,535,10.3,5.8,5,87.0,11.2,373,162,0,0,0,0,0.0,0,44,5,10.2,,ScanOr99
271,Trae Waynes,26,MIN,LCB,14,14,1,58,37,63.8,441,11.9,7.6,1,85.5,12.9,352,89,1,0,0,0,0.0,0,44,1,2.2,,WaynTr00
272,Mackensie Alexander,25,MIN,DB,15,6,0,53,35,66.0,318,9.1,6.0,0,82.1,5.0,93,225,17,1,0,0,4.0,5,43,5,10.4,,AlexMa01
273,Lorenzo Carter,23,NYG,LB,15,2,0,6,4,66.7,8,2.0,1.3,0,70.1,4.3,6,2,32,10,5,0,4.0,19,43,0,0.0,,CartLo01
274,Ronald Darby,24,PHI,RCB,9,9,1,82,50,61.0,525,10.5,6.4,3,86.7,10.7,400,125,1,0,0,0,0.0,0,43,7,14.0,,DarbRo00
275,Melvin Ingram,29,LAC,RDE,16,16,1,1,1,100.0,5,5.0,5.0,0,47.9,-3.0,-3,8,20,16,7,0,7.0,31,43,5,10.4,PB,IngrMe00
276,Ryan Kerrigan,30,WAS,ROLB,16,16,0,5,2,40.0,21,10.5,4.2,0,52.9,5.0,1,20,32,12,4,0,13.0,30,43,2,4.4,PB,KerrRy00
277,Christian Kirksey,26,CLE,LLB,7,7,2,42,31,73.8,322,10.4,7.7,2,91.6,5.0,126,196,37,2,1,0,0.0,3,43,8,15.7,,KirkCh00
278,Clay Matthews,32,GNB,LOLB,16,16,0,6,4,66.7,88,22.0,14.7,0,109.7,2.3,17,71,63,10,7,0,3.5,21,43,7,14.0,,MattCl99
279,Nicholas Morrow,23,OAK,LLB,16,5,0,27,20,74.1,177,8.9,6.6,0,91.1,1.1,13,164,15,2,1,0,1.0,4,43,9,17.3,,MorrNi00
280,Marcus Peters,25,LAR,LCB,16,16,3,78,50,64.1,732,14.6,9.4,6,104.2,10.1,489,243,2,0,1,0,0.0,1,43,7,14.0,,PeteMa00
281,Darius Slay,27,DET,LCB,15,15,3,94,44,46.8,520,11.8,5.5,6,72.1,14.2,403,117,1,0,0,0,0.0,0,43,3,6.5,PB,SlayDa00
282,Derek Wolfe,28,DEN,LDE,16,16,1,0,0,,0,,,0,,,0,0,0,5,3,0,1.5,10,43,0,0.0,,WolfDe00
283,Preston Brown,26,CIN,MLB,7,7,2,24,17,70.8,156,9.2,6.5,0,53.5,2.8,45,111,11,2,0,0,0.0,2,42,1,2.3,,BrowPr00
284,Bud Dupree,25,PIT,ROLB,16,15,1,10,9,90.0,87,9.7,8.7,0,63.3,3.0,31,56,76,13,6,0,5.5,25,42,3,6.7,,DuprAl00
285,Kyler Fackrell,27,GNB,ROLB,16,7,0,10,4,40.0,30,7.5,3.0,0,47.9,7.5,7,23,41,6,1,0,10.5,18,42,7,14.3,,FackKy00
286,Taron Johnson,22,BUF,DB,11,2,1,41,25,61.0,154,6.2,3.8,2,74.6,5.5,52,102,10,2,0,0,1.0,3,42,7,14.3,,JohnTa01
287,Brandon Marshall,29,DEN,RILB,11,7,0,28,17,60.7,176,10.4,6.3,0,78.9,4.1,81,95,25,0,0,0,0.0,0,42,5,10.6,,MarsBr01
288,Jalen Mills,24,PHI,LCB,8,8,0,61,39,63.9,636,16.3,10.4,2,109.7,12.6,426,210,1,0,0,0,0.0,0,42,8,16.0,,MillJa02
289,Kawann Short,29,CAR,LDT,14,14,0,0,0,,0,,,0,,,0,0,0,9,3,0,3.0,16,42,5,10.6,PB,ShorKa00
290,Akeem Spence,27,MIA,RDT,16,16,0,2,1,50.0,11,11.0,5.5,0,66.7,-1.5,-3,14,0,7,5,0,2.0,14,42,4,8.7,,SpenAk00
291,Jaquiski Tartt,26,SFO,SS,8,8,1,29,20,69.0,205,10.3,7.1,2,97.6,6.6,98,107,12,0,0,0,0.0,0,42,5,10.6,,TartJa00
292,Leonard Williams,24,NYJ,LDE,16,16,0,0,0,,0,,,0,,,0,0,0,8,12,0,5.0,26,42,10,19.2,,WillLe02
293,Eric Wilson,24,MIN,LB,16,4,0,19,16,84.2,95,5.9,5.0,1,105.0,0.7,14,81,15,1,1,0,2.0,4,42,5,10.6,,WilsEr00
294,Frank Clark,25,SEA,RDE,16,16,1,5,5,100.0,34,6.8,6.8,0,55.4,0.8,4,30,2,22,12,0,13.0,48,41,11,21.2,,ClarFr01
295,William Jackson III,26,CIN,RCB,16,16,0,77,44,57.1,566,12.9,7.4,7,110.6,12.0,359,207,1,0,0,0,0.0,0,41,8,16.3,,JackWi02
296,Dre Kirkpatrick,29,CIN,LCB,13,13,0,72,36,50.0,504,14.0,7.0,2,82.2,14.2,361,143,1,0,0,0,0.0,0,41,8,16.3,,KirkDr00
297,Montae Nicholson,23,WAS,SS,14,7,0,15,8,53.3,82,10.3,5.5,1,91.5,6.9,15,67,8,0,0,0,0.0,0,41,7,14.6,,NichMo00
298,Will Parks,24,DEN,DB,16,3,1,28,18,64.3,191,10.6,6.8,0,69.2,9.2,109,82,25,0,2,0,0.0,2,41,7,14.6,,ParkWi01
299,D.J. Reed,22,SFO,DB,15,2,0,16,14,87.5,122,8.7,7.6,1,119.3,9.3,61,61,8,2,0,0,1.0,3,41,5,10.9,,ReedD.00
300,Genard Avery,23,CLE,LLB,16,5,0,21,14,66.7,168,12.0,8.0,1,106.8,5.3,58,110,77,12,8,0,4.5,25,40,3,7.0,,AverGe00
301,Carlton Davis,21,TAM,LCB,13,12,0,62,39,62.9,492,12.6,7.9,6,119.8,11.6,364,128,1,0,0,0,0.0,0,40,7,14.9,,DaviCa02
302,Samson Ebukam,23,LAR,LOLB,16,14,1,13,8,61.5,34,4.3,2.6,0,33.8,1.7,-11,45,79,19,4,0,3.0,26,40,11,21.6,,EbukSa00
303,Antone Exum,27,SFO,FS,15,7,1,19,11,57.9,181,16.5,9.5,1,85.6,15.2,134,47,9,1,0,0,1.0,2,40,7,14.9,,ExumAn00
304,Eddie Goldman,24,CHI,NT,16,16,0,0,0,,0,,,0,,,0,0,0,5,0,0,3.0,8,40,0,0.0,,GoldEd00
305,Trumaine Johnson,28,NYJ,LCB,10,10,4,72,43,59.7,535,12.4,7.4,2,68.9,10.1,332,203,1,0,0,0,0.0,0,40,5,11.1,,JohnTr05
