,,,,,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,,-additional
Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Donnel Pumphrey*,San Diego State,MWC,14,349,2133,6.1,17,152.4,27,231,8.6,0,16.5,376,2364,6.3,17,H-10,donnel-pumphrey-1
2,D'Onta Foreman,Texas,Big 12,11,323,2028,6.3,15,184.4,7,75,10.7,0,6.8,330,2103,6.4,15,H-8AA,donta-foreman-1
3,Brian Hill*,Wyoming,MWC,14,349,1860,5.3,22,132.9,8,67,8.4,0,4.8,357,1927,5.4,22,,brian-hill-4
4,Aaron Jones,UTEP,CUSA,12,229,1773,7.7,17,147.8,28,233,8.3,3,19.4,257,2006,7.8,20,,aaron-jones-6
5,Dalvin Cook*,Florida State,ACC,13,288,1765,6.1,19,135.8,33,488,14.8,1,37.5,321,2253,7.0,20,H-10AA,dalvin-cook-1
6,Jeremy McNichols*,Boise State,MWC,13,314,1709,5.4,23,131.5,37,474,12.8,4,36.5,351,2183,6.2,27,,jeremy-mcnichols-1
7,James Flanders*,Tulsa,American,13,258,1629,6.3,18,125.3,3,17,5.7,0,1.3,261,1646,6.3,18,,james-flanders-1
8,Anthony Wales*,Western Kentucky,CUSA,13,237,1621,6.8,27,124.7,30,323,10.8,2,24.8,267,1944,7.3,29,,anthony-wales-1
9,Christian McCaffrey*,Stanford,Pac-12,11,253,1603,6.3,13,145.7,37,310,8.4,3,28.2,290,1913,6.6,16,H-9,christian-mccaffrey-1
10,Lamar Jackson*,Louisville,ACC,13,260,1571,6.0,21,120.8,0,0,,0,0.0,260,1571,6.0,21,H-1MaxwellAACamp,lamar-jackson-1
11,I'Tavius Mathers*,Middle Tennessee State,CUSA,13,232,1561,6.7,17,120.1,66,633,9.6,3,48.7,298,2194,7.4,20,,itavius-mathers-1
12,Quinton Flowers*,South Florida,American,13,198,1530,7.7,18,117.7,1,-3,-3.0,0,-0.2,199,1527,7.7,18,,quinton-flowers-1
13,Justin Jackson*,Northwestern,Big Ten,13,298,1524,5.1,15,117.2,35,219,6.3,0,16.8,333,1743,5.2,15,,justin-jackson-5
14,Saquon Barkley*,Penn State,Big Ten,14,272,1496,5.5,18,106.9,28,402,14.4,4,28.7,300,1898,6.3,22,,saquon-barkley-1
15,Kareem Hunt*,Toledo,MAC,13,262,1475,5.6,10,113.5,41,403,9.8,1,31.0,303,1878,6.2,11,,kareem-hunt-1
16,Ito Smith*,Southern Mississippi,CUSA,13,265,1459,5.5,17,112.2,43,459,10.7,2,35.3,308,1918,6.2,19,,ito-smith-1
17,D'Angelo Brewer*,Tulsa,American,12,264,1435,5.4,7,119.6,5,19,3.8,1,1.6,269,1454,5.4,8,,dangelo-brewer-1
18,Joe Williams*,Utah,Pac-12,9,210,1407,6.7,10,156.3,9,107,11.9,0,11.9,219,1514,6.9,10,,joe-williams-7
19,Jalin Moore*,Appalachian State,Sun Belt,13,237,1402,5.9,10,107.8,5,32,6.4,0,2.5,242,1434,5.9,10,,jalin-moore-1
20,Derrius Guice*,LSU,SEC,12,183,1387,7.6,15,115.6,9,106,11.8,1,8.8,192,1493,7.8,16,,derrius-guice-1
21,Corey Clement*,Wisconsin,Big Ten,13,314,1375,4.4,15,105.8,12,132,11.0,0,10.2,326,1507,4.6,15,,corey-clement-1
22,Jamaal Williams*,BYU,Ind,10,234,1375,5.9,12,137.5,7,80,11.4,0,8.0,241,1455,6.0,12,,jamaal-williams-1
23,Nick Fitzgerald*,Mississippi State,SEC,13,195,1375,7.1,16,105.8,1,9,9.0,0,0.7,196,1384,7.1,16,,nick-fitzgerald-2
24,Myles Gaskin*,Washington,Pac-12,14,237,1373,5.8,10,98.1,19,137,7.2,1,9.8,256,1510,5.9,11,,myles-gaskin-1
25,Rawleigh Williams III*,Arkansas,SEC,13,245,1360,5.6,12,104.6,15,220,14.7,1,16.9,260,1580,6.1,13,,rawleigh-williams-iii-1
26,Jarvion Franklin*,Western Michigan,MAC,14,248,1353,5.5,12,96.6,25,288,11.5,2,20.6,273,1641,6.0,14,,jarvion-franklin-1
27,James Butler,Nevada,MWC,12,260,1336,5.1,12,111.3,37,381,10.3,3,31.8,297,1717,5.8,15,,james-butler-4
28,James Gilbert,Ball State,MAC,12,251,1332,5.3,12,111.0,1,18,18.0,0,1.5,252,1350,5.4,12,,james-gilbert-2
29,Jordan Chunn*,Troy,Sun Belt,13,279,1288,4.6,16,99.1,30,228,7.6,0,17.5,309,1516,4.9,16,,jordan-chunn-1
30,Ralph Webb*,Vanderbilt,SEC,13,250,1283,5.1,13,98.7,21,166,7.9,0,12.8,271,1449,5.3,13,,ralph-webb-1
31,Joe Mixon*,Oklahoma,Big 12,12,187,1274,6.8,10,106.2,37,538,14.5,5,44.8,224,1812,8.1,15,,joe-mixon-1
32,Teriyon Gipson*,New Mexico,MWC,11,145,1269,8.8,13,115.4,9,80,8.9,1,7.3,154,1349,8.8,14,,teriyon-gipson-1
33,Ray Lawry*,Old Dominion,CUSA,12,200,1255,6.3,11,104.6,11,134,12.2,1,11.2,211,1389,6.6,12,,ray-lawry-1
34,Phillip Lindsay*,Colorado,Pac-12,14,244,1252,5.1,16,89.4,53,493,9.3,1,35.2,297,1745,5.9,17,,phillip-lindsay-1
35,Kamryn Pettway*,Auburn,SEC,10,209,1224,5.9,7,122.4,2,14,7.0,0,1.4,211,1238,5.9,7,,kamryn-pettway-1
36,Will Worth*,Navy,American,12,264,1198,4.5,25,99.8,0,0,,0,0.0,264,1198,4.5,25,,will-worth-1
37,Marlon Mack*,South Florida,American,12,174,1187,6.8,15,98.9,28,227,8.1,0,18.9,202,1414,7.0,15,,marlon-mack-1
38,Justin Crawford*,West Virginia,Big 12,13,163,1184,7.3,4,91.1,14,68,4.9,1,5.2,177,1252,7.1,5,,justin-crawford-1
39,Boom Williams*,Kentucky,SEC,13,171,1170,6.8,7,90.0,8,56,7.0,1,4.3,179,1226,6.8,8,,boom-williams-1
40,Matt Dayes*,North Carolina State,ACC,13,249,1166,4.7,10,89.7,32,267,8.3,0,20.5,281,1433,5.1,10,,matt-dayes-1
41,Rodney Smith*,Minnesota,Big Ten,13,240,1158,4.8,16,89.1,23,188,8.2,0,14.5,263,1346,5.1,16,,rodney-smith-5
42,Justice Hill*,Oklahoma State,Big 12,13,206,1142,5.5,6,87.8,5,46,9.2,0,3.5,211,1188,5.6,6,,justice-hill-1
43,Wayne Gallman*,Clemson,ACC,15,232,1133,4.9,17,75.5,20,152,7.6,0,10.1,252,1285,5.1,17,,wayne-gallman-1
44,Nick Chubb*,Georgia,SEC,13,224,1130,5.0,8,86.9,5,86,17.2,1,6.6,229,1216,5.3,9,,nick-chubb-1
45,Elijah McGuire*,Louisiana,Sun Belt,13,232,1127,4.9,7,86.7,29,238,8.2,2,18.3,261,1365,5.2,9,,elijah-mcguire-1
46,Devine Redding*,Indiana,Big Ten,13,253,1122,4.4,7,86.3,27,146,5.4,2,11.2,280,1268,4.5,9,,devine-redding-1
47,Mark Walton*,Miami (FL),ACC,13,209,1117,5.3,14,85.9,27,240,8.9,1,18.5,236,1357,5.8,15,,mark-walton-1
48,Tyrone Owens*,New Mexico,MWC,12,137,1097,8.0,7,91.4,7,54,7.7,0,4.5,144,1151,8.0,7,,tyrone-owens-1
49,Mike Weber*,Ohio State,Big Ten,13,182,1096,6.0,9,84.3,23,91,4.0,0,7.0,205,1187,5.8,9,,mike-weber-1
50,James Conner*,Pitt,ACC,13,216,1092,5.1,16,84.0,21,302,14.4,4,23.2,237,1394,5.9,20,,james-conner-1
51,Benjamin Snell Jr.*,Kentucky,SEC,13,186,1091,5.9,13,83.9,2,39,19.5,0,3.0,188,1130,6.0,13,,benjamin-snell-jr-1
52,Ronald Jones*,USC,Pac-12,13,177,1082,6.1,12,83.2,11,76,6.9,1,5.8,188,1158,6.2,13,,ronald-jones-4
53,Akrum Wadley*,Iowa,Big Ten,13,168,1081,6.4,10,83.2,36,315,8.8,3,24.2,204,1396,6.8,13,,akrum-wadley-1
54,Jarred Craft*,Louisiana Tech,CUSA,14,191,1074,5.6,9,76.7,42,340,8.1,4,24.3,233,1414,6.1,13,,jarred-craft-1
55,Damarea Crockett,Missouri,SEC,11,153,1062,6.9,10,96.5,5,14,2.8,0,1.3,158,1076,6.8,10,,damarea-crockett-1
56,Samaje Perine*,Oklahoma,Big 12,10,196,1060,5.4,12,106.0,10,106,10.6,1,10.6,206,1166,5.7,13,,samaje-perine-1
57,Leshun Daniels Jr.*,Iowa,Big Ten,13,213,1058,5.0,10,81.4,8,67,8.4,0,5.2,221,1125,5.1,10,,leshun-daniels-jr-1
58,Trayveon Williams*,Texas A&M,SEC,13,156,1057,6.8,8,81.3,19,91,4.8,0,7.0,175,1148,6.6,8,,trayveon-williams-1
59,Terence Williams*,Baylor,Big 12,12,185,1048,5.7,11,87.3,2,22,11.0,0,1.8,187,1070,5.7,11,,terence-williams-2
60,Kyle Hicks*,Texas Christian,Big 12,13,203,1042,5.1,12,80.2,47,417,8.9,2,32.1,250,1459,5.8,14,,kyle-hicks-1
61,Jordan Johnson,Buffalo,MAC,12,200,1040,5.2,6,86.7,9,101,11.2,1,8.4,209,1141,5.5,7,,jordan-johnson-4
62,Braeden West,SMU,American,12,202,1036,5.1,6,86.3,15,92,6.1,0,7.7,217,1128,5.2,6,,braeden-west-1
63,Fred Coppet,Bowling Green,MAC,12,204,1030,5.0,8,85.8,15,79,5.3,0,6.6,219,1109,5.1,8,,fred-coppet-1
64,Devin Singletary,Florida Atlantic,CUSA,12,152,1021,6.7,12,85.1,26,163,6.3,0,13.6,178,1184,6.7,12,,devin-singletary-1
65,Rashaad Penny*,San Diego State,MWC,14,136,1018,7.5,11,72.7,15,224,14.9,3,16.0,151,1242,8.2,14,,rashaad-penny-1
66,Marcus Cox*,Appalachian State,Sun Belt,9,158,1015,6.4,9,112.8,14,112,8.0,1,12.4,172,1127,6.6,10,,marcus-cox-2
67,Jesse Ertz*,Kansas State,Big 12,13,183,1012,5.5,12,77.8,0,0,,0,0.0,183,1012,5.5,12,,jesse-ertz-1
68,Diocemy Saint Juste*,Hawaii,MWC,12,165,1006,6.1,3,83.8,8,56,7.0,1,4.7,173,1062,6.1,4,,diocemy-saint-juste-1
