Tm,G,Cmp,Att,Yds,Sk,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr
ATL,17,327,530,3524,40,2.4,127,36,42,118,19.6%,32,7.9
BUF,17,385,579,4154,24,2.3,181,51,51,126,19.3%,50,7.6
CAR,17,350,586,2741,65,2.5,181,40,55,160,23.4%,32,8.4
CHI,17,321,513,3096,50,2.7,192,55,43,148,23.9%,55,8.4
CIN,17,420,615,3895,50,2.3,168,38,64,152,21.9%,30,7.1
CLE,17,355,624,3693,45,2.5,175,47,67,159,22.7%,30,6.4
IND,17,355,574,3666,41,2.4,193,42,35,118,18.3%,29,5.2
ARI,17,355,555,3144,42,2.4,149,31,57,130,20.5%,37,10.4
DAL,17,428,614,4397,40,2.4,175,26,47,113,16.6%,28,6.9
DEN,17,337,513,3262,52,2.7,162,45,56,153,25.2%,41,7.0
DET,17,408,606,4401,31,2.3,213,42,69,142,22.0%,7,4.4
GNB,17,374,581,3968,30,2.4,216,47,42,119,18.7%,24,8.5
HOU,17,372,592,4173,47,2.5,149,50,45,142,21.4%,24,6.5
JAX,17,412,620,4126,41,2.2,174,40,47,128,18.1%,46,8.1
KAN,17,421,635,4188,28,2.5,144,61,75,164,22.9%,54,8.4
MIA,17,393,566,4514,31,2.1,118,39,27,97,15.8%,15,5.3
MIN,17,424,631,4359,47,2.6,210,47,96,190,26.7%,33,6.2
NOR,17,406,606,3990,35,2.3,200,27,37,99,15.1%,13,6.8
NWE,17,351,557,3069,48,2.3,175,44,35,127,20.3%,20,7.4
NYG,17,338,518,2886,85,2.4,171,52,41,178,26.4%,70,6.3
NYJ,17,356,601,2919,64,2.4,167,60,64,188,27.0%,31,8.0
TEN,17,304,494,3067,64,2.5,155,18,77,159,27.5%,21,6.9
PHI,17,369,563,3834,39,2.6,194,61,30,130,20.0%,49,6.9
PIT,17,323,506,3163,36,2.4,124,42,48,126,22.3%,24,5.4
LVR,17,348,557,3380,40,2.4,168,13,38,91,15.0%,9,4.9
LAR,17,361,583,4063,34,2.5,186,29,48,111,17.4%,20,5.1
BAL,17,328,494,3635,41,2.7,180,22,30,93,15.3%,73,6.3
LAC,17,409,632,3957,43,2.4,227,42,53,138,19.4%,36,8.2
SEA,17,371,575,3910,38,2.4,159,70,47,155,24.4%,23,7.5
SFO,17,336,491,4384,34,2.7,150,29,45,108,19.9%,19,7.4
TAM,17,364,568,3812,40,2.4,141,37,35,112,17.6%,29,5.9
WAS,17,407,636,3725,65,2.4,184,39,59,163,22.1%,35,7.5
